Celula,NombreProyecto
Mindshift,AEL.DebidaDiligencia.Backend:Quality
Mindshift,AEL.LogsAuditoria.Function:Quality
Mindshift,AEL.NominaElectronica.FrontEnd:Quality
Mindshift,AEL.DebidaDiligencia.FrontEnd:Quality
Nova,AEL.Candados.Servicio:Quality
Nova,AEL.Pagos.DispersionACHCesantias.Servicio:Quality
Nova,AEL.Pagos.DispersionACHPila.Servicio:Quality
Nova,AEL.PasarelaPagos:Quality
Nova,AEL.ControlAcceso.Servicio:Quality
Nova,AEL.Personas.API:Quality
Nova,AEL.Administradora.ErroresGlosas.GestorDB.API:Quality
Polaris,AEL.FanaiaRecaudo.CifradoBanRep.Servicio:Quality
Polaris,AEL.Interconexion.GestorColasInterconexion.Aplicacion:Quality
Wakanda,Independientes.Web:Quality
Wakanda,MafaS60:Quality
Wakanda,Mareigua.Fanaia.Personas.Cotizantes.Servicio:Quality
Wakanda,Mareigua.Fanaia.Personas.Independientes.Servicio:Quality
Wakanda,Mareigua.Fanaia.ControlAcceso.Aplicacion:Quality
Wakanda,Mareigua.Fanaia.Personas.Cotizantes.Aplicacion:Quality
Wakanda,Mareigua.Notificaciones.Proxy:Quality
Wakanda,Mareigua.Notificaciones.Servicio:Quality
Wakanda,MafaSW37:Quality
Wakanda,MafaSW38:Quality
Wakanda,Aportes.Fanaia.GeneradorPlanillasD:Quality
Wakanda,MafaSW35:Quality
Wakanda,ServiciosExternos:Quality
